ID;[M-H]-;[(M-H)+Na+Cl]-;[M+CH2CN]-;[M+Cl]-;[(M-2H)+Na]-;[M+OH]-;[(M-H)-H2O]-;[(M-H)-2H2O]-;[(M-H)-CO2]-;[(M-H)-HPO3]-;[(M-H)-SO3]-;[M+HCO3]-
S0027;133.0142;190.9729;174.0408;168.9909;154.9962;151.0248;115.0037;96.9931;89.0244;53.0479;53.0574;195.0146
S0089;150.0421;208.0008;191.0687;186.0188;172.0241;168.0527;132.0316;114.021;106.0523;70.0758;70.0853;212.0425
S0124;165.0557;223.0143;206.0823;201.0324;187.0377;183.0663;147.0452;129.0346;121.0659;85.0894;85.0989;227.0561
S0272;176.0387;233.9973;217.0652;212.0154;198.0206;194.0493;158.0281;140.0176;132.0489;96.0724;96.0819;238.0391
S0200;199.0013;256.9599;240.0279;234.978;220.9833;217.0119;180.9907;162.9802;155.0115;119.035;119.0445;261.0017
S0105;241.083;299.0416;282.1095;277.0597;263.0649;259.0936;223.0724;205.0619;197.0932;161.1167;161.1262;303.0834
S0090;285.2071;343.1658;326.2337;321.1838;307.1891;303.2177;267.1966;249.186;241.2173;205.2408;205.2503;347.2075
S0097;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0212;481.9772;539.9359;523.0038;517.9539;503.9592;499.9878;463.9667;445.9561;437.9874;402.0109;402.0204;543.9776
S0044;110.036;167.9946;151.0625;146.0127;132.0179;128.0466;92.0254;74.0149;66.0462;30.0697;30.0792;172.0364
S0078;124.0074;181.966;165.0339;159.9841;145.9893;142.018;105.9968;87.9863;80.0176;44.0411;44.0506;186.0078
S0110;133.0506;191.0093;174.0772;169.0273;155.0326;151.0612;115.0401;97.0295;89.0608;53.0843;53.0938;195.051
S0048;151.0261;208.9848;192.0527;187.0028;173.0081;169.0367;133.0156;115.005;107.0363;71.0598;71.0693;213.0265
S0073;165.0557;223.0143;206.0823;201.0324;187.0377;183.0663;147.0452;129.0346;121.0659;85.0894;85.0989;227.0561
S0056;178.0509;236.0096;219.0775;214.0276;200.0329;196.0615;160.0404;142.0298;134.0611;98.0846;98.0942;240.0514
S0049;203.0826;261.0412;244.1092;239.0593;225.0645;221.0932;185.072;167.0615;159.0928;123.1163;123.1258;265.083
S0102;242.0782;300.0369;283.1048;278.0549;264.0602;260.0888;224.0677;206.0571;198.0884;162.1119;162.1214;304.0786
S0205;289.033;346.9916;330.0596;325.0097;311.015;307.0436;271.0224;253.0119;245.0432;209.0667;209.0762;351.0334
S0201;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0196;482.9612;540.9199;523.9878;518.9379;504.9432;500.9718;464.9507;446.9401;438.9714;402.9949;403.0044;544.9616
