ID;[M-H]-;[(M-H)+Na+Cl]-;[M+CH2CN]-;[M+Cl]-;[(M-2H)+Na]-;[M+OH]-;[(M-H)-H2O]-;[(M-H)-2H2O]-;[(M-H)-CO2]-;[(M-H)-HPO3]-;[(M-H)-SO3]-;[M+HCO3]-
S0012;88.0404;145.999;129.067;124.0171;110.0223;106.051;70.0298;52.0193;44.0506;8.0741;8.0836;150.0408
S0003;115.0037;172.9623;156.0302;150.9804;136.9856;133.0142;96.9931;78.9826;71.0139;35.0374;35.0469;177.0041
S0100;129.0557;187.0143;170.0823;165.0324;151.0377;147.0663;111.0452;93.0346;85.0659;49.0894;49.0989;191.0561
S0083;137.0356;194.9943;178.0622;173.0123;159.0176;155.0462;119.0251;101.0145;93.0458;57.0693;57.0788;199.036
S0101;151.04;208.9987;192.0666;187.0167;173.022;169.0506;133.0295;115.0189;107.0502;71.0737;71.0833;213.0405
S0257;166.9751;224.9337;208.0016;202.9518;188.957;184.9857;148.9645;130.954;122.9853;87.0088;87.0183;228.9755
S0037;180.0666;238.0252;221.0932;216.0433;202.0486;198.0772;162.0561;144.0455;136.0768;100.1003;100.1098;242.067
S0153;215.1652;273.1239;256.1918;251.1419;237.1472;233.1758;197.1547;179.1441;171.1754;135.1989;135.2085;277.1657
S0276;258.0384;315.997;299.065;294.0151;280.0204;276.049;240.0279;222.0173;214.0486;178.0721;178.0816;320.0388
S0266;300.049;358.0076;341.0755;336.0257;322.0309;318.0596;282.0384;264.0279;256.0592;220.0827;220.0922;362.0494
S0116;346.0558;404.0144;387.0824;382.0325;368.0378;364.0664;328.0452;310.0347;302.066;266.0895;266.099;408.0562
S0280;565.0477;623.0064;606.0743;601.0244;587.0297;583.0583;547.0372;529.0266;521.0579;485.0814;485.0909;627.0481
S0017;88.0404;145.999;129.067;124.0171;110.0223;106.051;70.0298;52.0193;44.0506;8.0741;8.0836;150.0408
S0169;115.04;172.9987;156.0666;151.0167;137.022;133.0506;97.0295;79.0189;71.0502;35.0737;35.0833;177.0405
S0114;129.1033;187.062;170.1299;165.08;151.0853;147.1139;111.0928;93.0822;85.1135;49.137;49.1465;191.1037
S0181;139.9754;197.9341;181.002;175.9521;161.9574;157.986;121.9649;103.9543;95.9856;60.0091;60.0186;201.9758
S0054;154.0622;212.0208;195.0887;190.0389;176.0441;172.0728;136.0516;118.0411;110.0724;74.0959;74.1054;216.0626
S0032;167.021;224.9797;208.0476;202.9977;189.003;185.0316;149.0105;130.9999;123.0312;87.0547;87.0642;229.0215
S0014;180.0666;238.0252;221.0932;216.0433;202.0486;198.0772;162.0561;144.0455;136.0768;100.1003;100.1098;242.067
